date,weight
1/15/2021,108.5
1/16/2021,108.4
1/17/2021,108.5
1/18/2021,108
1/19/2021,108.1
1/20/2021,107.9
1/21/2021,107.8
1/22/2021,107.4
1/23/2021,107.6
1/24/2021,107.4
1/25/2021,107.5
1/26/2021,107.1
1/27/2021,106.5
1/28/2021,107
1/29/2021,106.7
1/30/2021,
1/31/2021,
2/1/2021,
2/2/2021,107.6
2/3/2021,107.1
2/4/2021,106.2
2/5/2021,105.7
2/6/2021,105.6
2/7/2021,105.7
2/8/2021,104.9
2/9/2021,104.8
2/10/2021,104.9
2/11/2021,105.3
2/12/2021,104.9
2/13/2021,
2/14/2021,
2/15/2021,
2/16/2021,105.5
2/17/2021,104.9
2/18/2021,104.7
2/19/2021,104.4
2/20/2021,104.2
2/21/2021,103.5
2/22/2021,103.4
2/23/2021,103.6
2/24/2021,103.6
2/25/2021,103.6
2/26/2021,103.7
2/27/2021,103.7
2/28/2021,103.2
3/1/2021,103.4
3/2/2021,103.2
3/3/2021,103.2
3/4/2021,103.5
3/5/2021,103
3/6/2021,
3/7/2021,
3/8/2021,103.8
3/9/2021,103.3
3/10/2021,103.4
3/11/2021,103.1
3/12/2021,102.1
3/13/2021,102
3/14/2021,102.3
3/15/2021,102.3
3/16/2021,101.9
3/17/2021,102.1
3/18/2021,102.1
3/19/2021,102.1
3/20/2021,
3/21/2021,
3/22/2021,101.6
3/23/2021,101.7
3/24/2021,101.5
3/25/2021,100.8
3/26/2021,101.6
3/27/2021,
3/28/2021,
3/29/2021,102.1
3/30/2021,101.9
3/31/2021,101.6
4/1/2021,101.3
4/2/2021,100.5
4/3/2021,100.9
4/4/2021,100.7
4/5/2021,101
4/6/2021,100.7
4/7/2021,100.2
4/8/2021,100
4/9/2021,100.4
4/10/2021,100.1
4/11/2021,100
4/12/2021,100.7
4/13/2021,99.8
4/14/2021,99.9
4/15/2021,99.8
4/16/2021,100.1
4/17/2021,
4/18/2021,
4/19/2021,101.1
4/20/2021,100.2
4/21/2021,99.5
4/22/2021,99.6
4/23/2021,99.8
4/24/2021,99.5
4/25/2021,99.4
4/26/2021,99.2
4/27/2021,99.1
4/28/2021,98.8
4/29/2021,99
4/30/2021,99.2
5/1/2021,99.2
5/2/2021,
5/3/2021,100.8
5/4/2021,100.3
5/5/2021,99.1
5/6/2021,99.7
5/7/2021,98.7
5/8/2021,98.7
5/9/2021,98.4
5/10/2021,99.1
5/11/2021,99.1
5/12/2021,97.9
5/13/2021,97.9
5/14/2021,99.1
5/15/2021,98.6
5/16/2021,98.4
5/17/2021,98.2
5/18/2021,98.2
5/19/2021,98
5/20/2021,97.8
5/21/2021,97.8
5/22/2021,
5/23/2021,
5/24/2021,98.4
5/25/2021,98.4
5/26/2021,98.8
5/27/2021,98.7
5/28/2021,97.4
5/29/2021,
5/30/2021,
5/31/2021,99.7
6/1/2021,99.1
6/2/2021,98.8
6/3/2021,98.8
6/4/2021,98.2
6/5/2021,98.2
6/6/2021,98.4
6/7/2021,98.7
6/8/2021,98.4
6/9/2021,98.4
6/10/2021,97.8
6/11/2021,97.8
6/12/2021,97.4
6/13/2021,97.3
6/14/2021,97.3
6/15/2021,97.7
6/16/2021,97.3
6/17/2021,97.6
6/18/2021,97.5
6/19/2021,
6/20/2021,
6/21/2021,98.6
6/22/2021,98.3
6/23/2021,98
6/24/2021,98.1
6/25/2021,97.7
6/26/2021,97.9
6/27/2021,
6/28/2021,97.7
6/29/2021,97.9
6/30/2021,
7/1/2021,96.6
7/2/2021,97.5
7/3/2021,
7/4/2021,
7/5/2021,98.1
7/6/2021,97.6
7/7/2021,97.4
7/8/2021,98
7/9/2021,
7/10/2021,97.7
7/11/2021,98.1
7/12/2021,97.8
7/13/2021,97.6
7/14/2021,97.4
7/15/2021,
7/16/2021,
7/17/2021,97.5
7/18/2021,97.7
7/19/2021,
7/20/2021,97.8
7/21/2021,96.9
7/22/2021,98
7/23/2021,97.6
7/24/2021,97.6
7/25/2021,97.4
7/26/2021,97.4
7/27/2021,
7/28/2021,
7/29/2021,
7/30/2021,
7/31/2021,
8/1/2021,
8/2/2021,
8/3/2021,
8/4/2021,
8/5/2021,
8/6/2021,
8/7/2021,
8/8/2021,
8/9/2021,
8/10/2021,
8/11/2021,
8/12/2021,
8/13/2021,
8/14/2021,
8/15/2021,
8/16/2021,
8/17/2021,
8/18/2021,
8/19/2021,
8/20/2021,
8/21/2021,
8/22/2021,
8/23/2021,
8/24/2021,
8/25/2021,
8/26/2021,
8/27/2021,
8/28/2021,
8/29/2021,
8/30/2021,
8/31/2021,
9/1/2021,
9/2/2021,
9/3/2021,
9/4/2021,
9/5/2021,
9/6/2021,
9/7/2021,
9/8/2021,
9/9/2021,
9/10/2021,
9/11/2021,
9/12/2021,
9/13/2021,
9/14/2021,
9/15/2021,
9/16/2021,
9/17/2021,
9/18/2021,
9/19/2021,
9/20/2021,
9/21/2021,
9/22/2021,
9/23/2021,97
9/24/2021,
9/25/2021,
9/26/2021,
9/27/2021,
9/28/2021,
9/29/2021,96.7
9/30/2021,
10/1/2021,97.2
10/2/2021,97
10/3/2021,96.9
10/4/2021,96.3
10/5/2021,95.6
10/6/2021,95.1
10/7/2021,95.4
10/8/2021,94.7
10/9/2021,
10/10/2021,
10/11/2021,95.7
10/12/2021,
10/13/2021,95.5
10/14/2021,95.4
10/15/2021,94.4
10/16/2021,94.3
10/17/2021,
10/18/2021,94.4
10/19/2021,94.3
10/20/2021,93.6
10/21/2021,94.2
10/22/2021,94.8
10/23/2021,93.9
10/24/2021,
10/25/2021,94.5
10/26/2021,93.5
10/27/2021,93.6
10/28/2021,93.8
10/29/2021,93.5
10/30/2021,93.5
10/31/2021,
11/1/2021,92.9
11/2/2021,93.1
11/3/2021,93.3
11/4/2021,93.5
11/5/2021,93.2
11/6/2021,92.8
11/7/2021,92.9
11/8/2021,93.4
11/9/2021,93.1
11/10/2021,92.6
11/11/2021,92.4
11/12/2021,92.8
11/13/2021,
11/14/2021,
11/15/2021,
11/16/2021,94
11/17/2021,93.3
11/18/2021,92.9
11/19/2021,92.4
11/20/2021,92.1
11/21/2021,92
11/22/2021,92.5
11/23/2021,92.6
11/24/2021,91.4
11/25/2021,92.1
11/26/2021,91.9
11/27/2021,
11/28/2021,
11/29/2021,92.1
11/30/2021,92.6
12/1/2021,
12/2/2021,92
12/3/2021,92.2